t,count
1516571490,3
1516571491,3
1516571492,3
1516571493,3
1516571494,3
1516571495,3
1516571496,3
1516571497,3
1516571498,3
1516571499,3
1516571500,3
1516571501,3
1516571502,3
1516571503,3
1516571504,3
1516571505,3
1516571506,3
1516571507,3
1516571508,3
1516571509,3
1516571510,3
1516571511,3
1516571512,3
1516571513,3
1516571514,3
1516571515,3
1516571516,3
1516571517,3
1516571518,3
1516571519,3
1516571520,3
1516571521,3
1516571522,3
1516571523,3
1516571524,3
1516571525,3
1516571526,3
1516571527,3
1516571528,3
1516571529,3
1516571530,3
1516571531,3
1516571532,3
1516571533,3
1516571534,3
1516571535,3
1516571536,3
1516571537,3
1516571538,3
1516571539,3
1516571540,3
1516571541,3
1516571542,3
1516571543,3
1516571544,3
1516571545,3
1516571546,3
1516571547,3
1516571548,3
1516571549,3
1516571550,3
1516571551,3
1516571552,3
1516571553,3
1516571554,3
1516571555,3
1516571556,3
1516571557,3
1516571558,3
1516571559,3
1516571560,3
1516571561,3
1516571562,3
1516571563,3
1516571564,3
1516571565,3
1516571566,3
1516571567,3
1516571568,3
1516571569,3
1516571570,3
1516571571,3
1516571572,3
1516571573,3
1516571574,3
1516571575,3
1516571576,3
1516571577,3
1516571578,3
1516571579,3
1516571580,3
1516571581,3
1516571582,3
1516571583,3
1516571584,3
1516571585,3
1516571586,3
1516571587,3
1516571588,3
1516571589,3
1516571590,3
1516571591,3
1516571592,3
1516571593,3
1516571594,3
1516571595,3
1516571596,3
1516571597,3
1516571598,3
1516571599,3
1516571600,3
1516571601,3
1516571602,3
1516571603,3
1516571604,3
1516571605,3
1516571606,3
1516571607,3
1516571608,3
1516571609,3
1516571610,3
1516571611,3
1516571612,3
1516571613,3
1516571614,3
1516571615,3
1516571616,3
1516571617,3
1516571618,3
1516571619,3
1516571620,3
1516571621,3
1516571622,3
1516571623,3
1516571624,3
1516571625,3
1516571626,3
1516571627,3
1516571628,3
1516571629,3
1516571630,3
1516571631,3
1516571632,3
1516571633,3
1516571634,3
1516571635,3
1516571636,3
1516571637,3
1516571638,3
1516571639,3
1516571640,3
1516571641,3
1516571642,3
1516571643,3
1516571644,3
1516571645,3
1516571646,3
1516571647,3
1516571648,3
1516571649,3
1516571650,3
1516571651,3
1516571652,3
1516571653,3
1516571654,3
1516571655,3
1516571656,3
1516571657,3
1516571658,3
1516571659,3
1516571660,3
1516571661,3
1516571662,3
1516571663,3
1516571664,3
1516571665,3
1516571666,3
1516571667,3
1516571668,3
1516571669,3
1516571670,3
1516571671,3
1516571672,3
1516571673,3
1516571674,3
1516571675,3
1516571676,3
1516571677,3
1516571678,3
1516571679,3
1516571680,3
1516571681,3
1516571682,3
1516571683,3
1516571684,3
1516571685,3
1516571686,3
1516571687,3
1516571688,3
1516571689,3
1516571690,3
1516571691,3
1516571692,3
1516571693,3
1516571694,3
1516571695,3
1516571696,3
1516571697,3
1516571698,3
1516571699,3
1516571700,3
1516571701,3
1516571702,3
1516571703,3
1516571704,3
1516571705,3
1516571706,3
1516571707,3
1516571708,3
1516571709,3
1516571710,3
1516571711,3
1516571712,3
1516571713,3
1516571714,3
1516571715,3
1516571716,3
1516571717,3
1516571718,3
1516571719,3
1516571720,3
1516571721,3
1516571722,3
1516571723,3
1516571724,3
1516571725,3
1516571726,3
1516571727,3
1516571728,3
1516571729,3
1516571730,3
1516571731,3
1516571732,3
1516571733,3
1516571734,3
1516571735,3
1516571736,3
1516571737,3
1516571738,3
1516571739,3
1516571740,3
1516571741,3
1516571742,3
1516571743,3
1516571744,3
1516571745,3
1516571746,3
1516571747,3
1516571748,3
1516571749,3
1516571750,3
1516571751,3
1516571752,3
1516571753,3
1516571754,3
1516571755,3
1516571756,3
1516571757,3
1516571758,3
1516571759,3
1516571760,3
1516571761,3
1516571762,3
1516571763,3
1516571764,3
1516571765,3
1516571766,3
1516571767,3
1516571768,3
1516571769,3
1516571770,3
1516571771,3
1516571772,3
1516571773,3
1516571774,3
1516571775,3
1516571776,3
1516571777,3
1516571778,3
1516571779,3
1516571780,3
1516571781,3
1516571782,3
1516571783,3
1516571784,3
1516571785,3
1516571786,3
1516571787,3
1516571788,3
1516571789,3
1516571790,3
1516571791,3
1516571792,3
1516571793,3
1516571794,3
1516571795,3
1516571796,3
1516571797,3
1516571798,3
1516571799,3
1516571800,3
1516571801,3
1516571802,3
1516571803,3
1516571804,3
1516571805,3
1516571806,3
1516571807,3
1516571808,3
1516571809,3
1516571810,3
1516571811,3
1516571812,3
1516571813,3
1516571814,3
1516571815,3
1516571816,3
1516571817,3
1516571818,3
1516571819,3
1516571820,3
1516571821,3
1516571822,3
1516571823,3
1516571824,3
1516571825,3
1516571826,3
1516571827,3
1516571828,3
1516571829,3
1516571830,3
1516571831,3
1516571832,3
1516571833,3
1516571834,3
1516571835,3
1516571836,3
1516571837,3
1516571838,3
1516571839,3
1516571840,3
1516571841,3
1516571842,3
1516571843,3
1516571844,3
1516571845,3
1516571846,3
1516571847,3
1516571848,3
1516571849,3
1516571850,3
1516571851,3
1516571852,3
